model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
EVA700,,ReleaseNotes_EVA700_fw.html,http://www.downloads.netgear.com/files/GDC/EVA700/ReleaseNotes_EVA700_fw.html,2012-06-04 02:58:07+00:00,3098,41590de65d891cfa73fe0f9c212988f7d8d454e8,f40976ed2bd7a1f0f7d5066c0c2bb5b1
EVA8000,2.0.159,EVA8000 Firmware Version 2.0.159 (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA8000/EVA8000 Firmware Version 2.0.159 (North America).zip,2012-06-04 13:49:45+00:00,7293934,7d7f3269c46ee1a09c3c6af1b443e83c00240582,98ca18c7cc4287455f5059d9ce9b4fcb
EVA8000,2.1.82,EVA8000 Firmware Version 2.1.82 (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA8000/EVA8000 Firmware Version 2.1.82 (North America).zip,2012-06-04 13:53:11+00:00,7659085,ba2312b67fcf34807f7ade801eddb01555d6a85a,f8762d9d6189e81cd61800d05442929a
EVA8000,1.2.20,EVA8000 Firmware Version 1.2.20 (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA8000/EVA8000 Firmware Version 1.2.20 (North America).zip,2012-06-04 13:47:37+00:00,7259569,b79a233f20fcf8f2e44b53268ab6fa70694d95ce,f4a8a3cd449975ecc3844aa8989da554
EVA8000,2.1.83,EVA8000 Firmware Version 2.1.83 (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA8000/EVA8000 Firmware Version 2.1.83 (North America).zip,2012-06-04 13:56:36+00:00,7655233,f5d4a719571da9bf48adc46198e0229fcdd76e58,0ad415b9c36364e9dfc28e15966ddb76
EVA8000,,EVA8000 Firmware Recovery Tool (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA8000/EVA8000 Firmware Recovery Tool (North America).zip,2012-06-04 13:46:29+00:00,7916356,eeb3b378705da6ab8854ad7f821e90b03a3aaece,11d4b24d125f551230faa539e4ee7cd5
EVA9150,2.3.16,EVA9150 Firmware Version 2.3.16 (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9150 Firmware Version 2.3.16 (NA).zip,2012-05-11 04:33:15+00:00,15503706,2bc09a8a60c26ca6586dee8b961a3519dd948aff,d21ce79d362c7d06998eff1bb5f1f069
EVA9150,2.2.127,EVA9150 Firmware Version 2.2.127 (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9150 Firmware Version 2.2.127 (NA).zip,2012-05-11 04:25:41+00:00,15437881,5c1abbb86272372f325ab5ed8b1fbcb20620141f,1b7ece8ebb7fd1ab8724b99ad55f45d4
EVA9100,2.4.170,EVA9100 Firmware Version 2.4.170 (North America).zip,http://www.downloads.netgear.com/files/GDC/EVA9100/EVA9100 Firmware Version 2.4.170 (North America).zip,2012-05-16 06:42:48+00:00,21212926,e41620823b41db2c90ac766e028ad122fc6e3685,615a4b045c16070dc4c93f0dd7e68cd6
EVA9150,2.3.14,EVA9150 Firmware Version 2.3.14 (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9150 Firmware Version 2.3.14 (NA).zip,2012-05-11 04:30:09+00:00,15492106,50543422e3b664801c4922047b1079c9c49a877d,2d5909893c78b1f74a9c1fb2a3cfb97d
EVA9150,,EVA9000 Firmware Recovery Tool (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9000 Firmware Recovery Tool (NA).zip,2012-05-11 04:22:53+00:00,15745074,beec002d5afacd1dec73c3874e80c84a39c8850f,b21f0c680ab3027f5d9a01eb87ca18ff
EVA9150,2.4.170,EVA9150 Firmware Version 2.4.170 (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9150 Firmware Version 2.4.170 (NA).zip,2012-05-11 04:42:04+00:00,21085144,aae72174a4da69365646ed2af99e3445e257b012,df11346556326a751f2a3aaed61e7120
EVA9150,2.4.68,EVA9150 Firmware Version 2.4.68 (NA).zip,http://www.downloads.netgear.com/files/GDC/EVA9150/EVA9150 Firmware Version 2.4.68 (NA).zip,2012-05-11 04:46:30+00:00,21122548,3ea6f5113357ac82ab630d35f061665e7b6595e7,8aa4e968274419918d383840681fc7e8
